name,price,specs,ram_gb,display_inch,camera_mp,battery_mah
vivo T4 Pro 5G,27999.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 2MP + 50MP | 32MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,6500.0
vivo T4 Pro 5G,29999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 2MP + 50MP | 32MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,6500.0
vivo T3 Pro 5G,22999.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Full HD+ AMOLED Display', '50MP + 8MP | 16MP Front Camera', '5500 mAh Battery', 'Snapdragon 7 Gen 3 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.77,50.0,5500.0
vivo V60 5G,38999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,6500.0
vivo V50 5G,29512.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 50MP | 50MP Front Camera', '6000 mAh Battery', '7 Gen 3 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories']",8.0,6.77,50.0,6000.0
vivo V50e 5G,23749.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP | 50MP Front Camera', '5600 mAh Battery', 'Dimensity 7300 Processor', '1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories']",8.0,6.77,50.0,5600.0
vivo V60 5G,40999.0,"['12 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.77,50.0,6500.0
vivo Y400 5G,23999.0,"['8 GB RAM | 256 GB ROM', '17.12 cm (6.74 inch) Display', '50MP + 2MP | 32MP Front Camera', '6000 mAh Battery', '4 Gen 2 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.74,50.0,6000.0
vivo Y400 5G,23999.0,"['8 GB RAM | 256 GB ROM', '17.12 cm (6.74 inch) Display', '50MP + 2MP | 32MP Front Camera', '6000 mAh Battery', '4 Gen 2 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.74,50.0,6000.0
vivo V60 5G,45999.0,"['16 GB RAM | 512 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",16.0,6.77,50.0,6500.0
vivo T4 Pro 5G,27999.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 2MP + 50MP | 32MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,6500.0
vivo T4 Ultra 5G,35999.0,"['8 GB RAM | 256 GB ROM', '16.94 cm (6.67 inch) Full HD+ AMOLED Display', '50MP + 8MP + 50MP Periscope | 32MP Front Camera', '5500 mAh Battery', 'Dimensity 9300+ Processor', '1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories']",8.0,6.67,50.0,5500.0
vivo V60 5G,45999.0,"['16 GB RAM | 512 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",16.0,6.77,50.0,6500.0
vivo V50e 5G,23880.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP | 50MP Front Camera', '5600 mAh Battery', 'Dimensity 7300 Processor', '1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories']",8.0,6.77,50.0,5600.0
vivo V50 5G,31499.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 50MP | 50MP Front Camera', '6000 mAh Battery', '7 Gen 3 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories']",8.0,6.77,50.0,6000.0
vivo V60 5G,38999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,6500.0
vivo T4 Pro 5G,31999.0,"['12 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 2MP + 50MP | 32MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.77,50.0,6500.0
vivo V50 5G,38999.0,"['12 GB RAM | 512 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 50MP | 50MP Front Camera', '6000 mAh Battery', '7 Gen 3 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories']",12.0,6.77,50.0,6000.0
vivo V60 5G,36999.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,50.0,6500.0
vivo Y400 5G,21999.0,"['8 GB RAM | 128 GB ROM', '17.12 cm (6.74 inch) Display', '50MP + 2MP | 32MP Front Camera', '6000 mAh Battery', '4 Gen 2 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.74,50.0,6000.0
vivo T4 Ultra 5G,37999.0,"['12 GB RAM | 256 GB ROM', '16.94 cm (6.67 inch) Full HD+ AMOLED Display', '50MP + 8MP + 50MP Periscope | 32MP Front Camera', '5500 mAh Battery', 'Dimensity 9300+ Processor', '1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories']",12.0,6.67,50.0,5500.0
vivo T4 Ultra 5G,39999.0,"['12 GB RAM | 512 GB ROM', '16.94 cm (6.67 inch) Full HD+ AMOLED Display', '50MP + 8MP + 50MP Periscope | 32MP Front Camera', '5500 mAh Battery', 'Dimensity 9300+ Processor', '1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories']",12.0,6.67,50.0,5500.0
vivo V50 5G,31320.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 50MP | 50MP Front Camera', '6000 mAh Battery', '7 Gen 3 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories']",8.0,6.77,50.0,6000.0
vivo V50 5G,29989.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 50MP | 50MP Front Camera', '6000 mAh Battery', '7 Gen 3 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories']",8.0,6.77,50.0,6000.0
vivo T3 Pro 5G,24999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Full HD+ AMOLED Display', '50MP + 8MP | 16MP Front Camera', '5500 mAh Battery', 'Snapdragon 7 Gen 3 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.77,50.0,5500.0
vivo T3 Ultra,29999.0,"['8 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Display', '50MP + 8MP | 50MP Front Camera', '5500 mAh Battery', 'Dimensity 9200+ Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.78,50.0,5500.0
vivo Y400 5G,21999.0,"['8 GB RAM | 128 GB ROM', '16.94 cm (6.67 inch) Display', '50MP + 2MP | 32MP Front Camera', '6000 mAh Battery', '4 Gen 2 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.67,50.0,6000.0
vivo V60 5G,40999.0,"['12 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP + 50MP | 50MP Front Camera', '6500 mAh Battery', '7 Gen 4 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.77,50.0,6500.0
vivo V60e,29999.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Full HD+ Display', '200MP + 8MP | 50MP Front Camera', '6500 mAh Battery', 'Dimensity 7360-Turbo Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.77,200.0,6500.0
vivo T4 Ultra 5G,37999.0,"['12 GB RAM | 256 GB ROM', '16.94 cm (6.67 inch) Full HD+ AMOLED Display', '50MP + 8MP + 50MP Periscope | 32MP Front Camera', '5500 mAh Battery', 'Dimensity 9300+ Processor', '1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories']",12.0,6.67,50.0,5500.0
vivo V50 5G,34999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 50MP | 50MP Front Camera', '6000 mAh Battery', '7 Gen 3 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories']",8.0,6.77,50.0,6000.0
vivo V50 5G,33990.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 50MP | 50MP Front Camera', '6000 mAh Battery', '7 Gen 3 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories']",8.0,6.77,50.0,6000.0
vivo V50 5G,31500.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 50MP | 50MP Front Camera', '6000 mAh Battery', '7 Gen 3 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories']",8.0,6.77,50.0,6000.0
vivo V40e 5G,23166.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP | 50MP Front Camera', '5500 mAh Battery', 'Dimensity 7300 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.77,50.0,5500.0
vivo V40 5G,27990.0,"['8 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Full HD+ Display', '50MP + 50MP | 50MP Front Camera', '5500 mAh Battery', 'Snapdragon 7 Gen 3 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.78,50.0,5500.0
vivo Y58 5G,20892.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.07 cm (6.72 inch) Display', '50MP + 2MP | 8MP Front Camera', '6000 mAh Battery', '4 Gen 2 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.72,50.0,6000.0
vivo V50 5G,38999.0,"['12 GB RAM | 512 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 50MP | 50MP Front Camera', '6000 mAh Battery', '7 Gen 3 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories']",12.0,6.77,50.0,6000.0
vivo T3 5G,20499.0,"['8 GB RAM | 256 GB ROM', '16.94 cm (6.67 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '5000 mAh Battery', 'Dimensity 7200 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.67,50.0,5000.0
vivo T3 Ultra,23999.0,"['8 GB RAM | 128 GB ROM', '17.22 cm (6.78 inch) Display', '50MP + 8MP | 50MP Front Camera', '5500 mAh Battery', 'Dimensity 9200+ Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.78,50.0,5500.0
vivo V40e 5G,26998.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP | 50MP Front Camera', '5500 mAh Battery', 'Dimensity 7300 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.77,50.0,5500.0
vivo V40e 5G,23166.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP | 50MP Front Camera', '5500 mAh Battery', 'Dimensity 7300 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.77,50.0,5500.0
vivo V50 5G,38999.0,"['12 GB RAM | 512 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 50MP | 50MP Front Camera', '6000 mAh Battery', '7 Gen 3 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories']",12.0,6.77,50.0,6000.0
vivo v50 5G,33999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Full HD+ E3 Super AMOLED Display', '50MP + 50MP | 50MP Front Camera', '6000 mAh Battery', 'Snapdragon \n7 Gen 3 Processor', '1 year warranty on handset and 6 month in inbox accessories']",8.0,6.77,50.0,6000.0
vivo V50 5G,34999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 50MP | 50MP Front Camera', '6000 mAh Battery', '7 Gen 3 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories']",8.0,6.77,50.0,6000.0
vivo V40 5G,37999.0,"['8 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Full HD+ Display', '50MP + 50MP | 50MP Front Camera', '5500 mAh Battery', 'Snapdragon 7 Gen 3 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.78,50.0,5500.0
vivo T3 Pro 5G,22999.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Full HD+ AMOLED Display', '50MP + 8MP | 16MP Front Camera', '5500 mAh Battery', 'Snapdragon 7 Gen 3 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.77,50.0,5500.0
vivo T3 5G,20499.0,"['8 GB RAM | 256 GB ROM', '16.94 cm (6.67 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '5000 mAh Battery', 'Dimensity 7200 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.67,50.0,5000.0
vivo V30e,25999.0,"['8 GB RAM | 128 GB ROM', '17.22 cm (6.78 inch) Full HD+ Display', '50MP + 8MP | 50MP Front Camera', '5500 mAh Battery', '6 Gen 1 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.78,50.0,5500.0
vivo T3 Pro 5G,24999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Full HD+ AMOLED Display', '50MP + 8MP | 16MP Front Camera', '5500 mAh Battery', 'Snapdragon 7 Gen 3 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.77,50.0,5500.0
vivo Y300 5G,22999.0,"['8 GB RAM | 256 GB ROM | Expandable Upto 2 TB', '16.94 cm (6.67 inch) Display', '50MP + 2MP | 32MP Front Camera', '5000 mAh Battery', '4 Gen 2 Processor', '1 Year Warranty on Handset and 6 Months on Inbox Accessories']",8.0,6.67,50.0,5000.0
vivo Y58 5G,23899.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.07 cm (6.72 inch) Display', '50MP + 2MP | 8MP Front Camera', '6000 mAh Battery', '4 Gen 2 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.72,50.0,6000.0
vivo V40e 5G,23770.0,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP | 50MP Front Camera', '5500 mAh Battery', 'Dimensity 7300 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.77,50.0,5500.0
vivo T3x 5G,22000.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.06 cm (6.7165354 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '6000 mAh Battery', '6 Gen 1 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.7165354,50.0,6000.0
vivo T3 Ultra,31999.0,"['12 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Display', '50MP + 8MP | 50MP Front Camera', '5500 mAh Battery', 'Dimensity 9200+ Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",12.0,6.78,50.0,5500.0
vivo Y300 5G,22849.0,"['8 GB RAM | 256 GB ROM | Expandable Upto 2 TB', '16.94 cm (6.67 inch) Display', '50MP + 2MP | 32MP Front Camera', '5000 mAh Battery', '4 Gen 2 Processor', '1 Year Warranty on Handset and 6 Months on Inbox Accessories']",8.0,6.67,50.0,5000.0
vivo V29e 5G,27999.0,"['8 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Full HD+ Display', '64MP + 8MP | 50MP Front Camera', '5000 mAh Battery', 'Snapdragon 695 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']",8.0,6.78,64.0,5000.0
vivo V40e 5G,30999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Display', '50MP + 8MP | 50MP Front Camera', '5500 mAh Battery', 'Dimensity 7300 Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.77,50.0,5500.0
vivo T3 Ultra,29999.0,"['8 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Display', '50MP + 8MP | 50MP Front Camera', '5500 mAh Battery', 'Dimensity 9200+ Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.78,50.0,5500.0
vivo T3 Ultra,27999.0,"['8 GB RAM | 128 GB ROM', '17.22 cm (6.78 inch) Display', '50MP + 8MP | 50MP Front Camera', '5500 mAh Battery', 'Dimensity 9200+ Processor', '1 Year Warranty on Handset and 6 Months Warranty on Accessories']",8.0,6.78,50.0,5500.0
vivo T3x 5G,22000.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.07 cm (6.72 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '6000 mAh Battery', '6 Gen 1 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.72,50.0,6000.0
vivo v50 5G,34999.0,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Full HD+ E3 Super AMOLED Display', '50MP + 50MP | 50MP Front Camera', '6000 mAh Battery', 'Snapdragon \n7 Gen 3 Processor', '1 year warranty on handset and 6 month in inbox accessories']",8.0,6.77,50.0,6000.0
